original_jp,vietnamese
セラ「特別サービスでメロメロに,Sera「Sẽ làm anh say đắm bằng dịch vụ đặc biệt
セラ「男の子のミルク、,"Sera「Sữa của con trai,"
セラ「白いのしーしーってしたら,Sera「Nếu xả cái màu trắng ra thì
セラ「私がディーラーとして,Sera「Với tư cách là Dealer
セラ「私のお尻の柔らかさを,Sera「Sự mềm mại của mông em
セラ「私のものになりなさい……♡」,Sera「Hãy trở thành của em đi……♡」
セラ「私のものになる準備が,Sera「Chuẩn bị trở thành của em
セラ「私の催眠のせいにしてお漏らし,Sera「Đổ lỗi cho thôi miên của em rồi rỉ nước ra
セラ「私の心情代弁が聞きやすいように,Sera「Để dễ nghe lời đại diện tâm trạng của em
セラ「私の方がもっと好きです」,Sera「Em còn thích anh nhiều hơn cơ」
セラ「私の水着姿で硬くなったと思うと,Sera「Nghĩ đến việc anh cương cứng vì bộ đồ bơi của em
セラ「私の目をじー……っと,Sera「Cứ nhìn chằm chằm vào mắt em
セラ「私の胸の高まり、感じてください」,Sera「Hãy cảm nhận nhịp đập nơi lồng ngực em đi」
セラ「私の脚に遊ばれたいですか？」,Sera「Muốn bị đôi chân em trêu đùa sao?」
セラ「私の足の裏、好きですか？」,Sera「Anh thích lòng bàn chân của em không?」
セラ「私はあなた好みの姿に,Sera「Em sẽ biến thành dáng vẻ mà anh thích
セラ「私も、愛しています……♡」,Sera「Em cũng yêu anh……♡」
セラ「精子出せ……イけ……」,Sera「Bắn tinh ra đi…… Lên đỉnh đi……」
セラ「素直におねだりできて偉いね。,Sera「Ngoan ngoãn xin xỏ như vậy giỏi lắm.
セラ「素足で踏みつけてもらえて,Sera「Được giẫm đạp bằng chân trần
セラ「素足の感触、気持ちいいですか？」,Sera「Cảm giác chân trần sướng lắm đúng không?」
セラ「耳が無防備ですよ。ふー……♡」,Sera「Tai không phòng bị kìa. Phù……♡」
セラ「胸の中で幸せになって,Sera「Hãy hạnh phúc trong vòng ngực em đi
セラ「胸ばかり見ているようですが？」,Sera「Có vẻ như anh chỉ toàn nhìn vào ngực em nhỉ?」
セラ「脚にもしっかりローションを,Sera「Phải bôi chất bôi trơn thật kỹ lên chân
セラ「良い趣味をしていますね。,Sera「Sở thích của anh cũng tốt đấy.
セラ「負けたくなったら、私の身体を,"Sera「Nếu muốn thua cuộc, thì cứ lấy cơ thể em"
セラ「負けてくれたら、,"Sera「Nếu anh chịu thua,"
セラ「賞金代わりに私の谷間のフェロモンを,"Sera「Thay cho tiền thưởng, em sẽ cho anh ngửi pheromone từ khe ngực em"
セラ「足の下で深呼吸でもしてろ」,Sera「Cứ hít thở sâu dưới chân em đi」
セラ「身だしなみも全て,Sera「Từ diện mạo cho đến mọi thứ
セラ「逃げないのなら、このまま,"Sera「Nếu không chạy trốn, thì cứ thế này"
セラ「逃げられないようにしっかり,"Sera「Để không thể chạy trốn được, em sẽ"
セラ「逆レイプされているのに,Sera「Đang bị cưỡng hiếp ngược mà
セラ「金玉を爪で、かりかりかり……」,"Sera「Dùng móng tay cào túi tinh, sột soạt sột soạt……」"
セラ「長ーい谷間、お好きですよね？」,"Sera「Khe ngực dài thật dài, anh thích lắm đúng không?」"
セラ「限界のおちんちん、まだまだ,"Sera「Con cu đã đến giới hạn rồi, vẫn còn"
セラ「雑魚マゾさんは椅子にでも,Sera「Tên khổ dâm yếu đuối cứ làm ghế
セラ「顔を踏まれながら負けるところ,Sera「Cảnh anh thua cuộc khi đang bị giẫm lên mặt
セラ「魔法で敏感にして差し上げます」,Sera「Em sẽ dùng ma pháp làm anh nhạy cảm hơn nhé」
セラが愛情たっぷりに言葉責めしてきた！,Sera đã dùng những lời lẽ đầy yêu thương để kích thích!
セラにおまんこをクンニさせられた！,Bị Sera bắt liếm cô bé!
セラにだいしゅきホールドされた！,Bị Sera ôm ghì lấy!
セラに圧弱めのパイズリをされた！,Bị Sera kẹp ngực với áp lực nhẹ!
セラに頭を撫でられた！,Bị Sera xoa đầu!
セラのフェラを受け入れてしまった！,Đã chấp nhận việc bú cu của Sera mất rồi!
セラの匂いが鼻腔をくすぐる！,Mùi hương của Sera đang làm nhột khoang mũi!
セラの攻撃力が上がった！,Sức tấn công của Sera đã tăng!
セラの攻撃力が下がった！,Sức tấn công của Sera đã giảm!
セラの攻撃力を下げようとした！,Đã cố giảm sức tấn công của Sera!
セラの本気ピストンが射精を促す！,Nhịp nhấp nghiêm túc của Sera đang thúc đẩy xuất tinh!
セラの目が妖しく光る！,Ánh mắt Sera lóe lên vẻ yêu kiều!
セラの能力上昇が一つ解除された！,Một hiệu ứng tăng chỉ số của Sera đã bị giải trừ!
セラの能力低下が一つ解除された！,Một hiệu ứng giảm chỉ số của Sera đã bị giải trừ!
セラの能力低下が全て解除された！,Toàn bộ hiệu ứng giảm chỉ số của Sera đã bị giải trừ!
セラの腰が艶めかしく動く！,Eo Sera đang di chuyển thật gợi cảm!
セラの興奮を煽ってしまった！,Đã khuấy động sự phấn khích của Sera mất rồi!
セラの防御力が上がった！,Phòng thủ của Sera đã tăng!
セラの防御力が下がった！,Phòng thủ của Sera đã giảm!
セラの防御力を下げようとした！,Đã cố giảm phòng thủ của Sera!
セラはぐりぐりと顔を踏みつけてきた！,Sera đã chà xát giẫm lên mặt!
セラはこちらの顔をじっと観察している。,Sera đang chăm chú quan sát gương mặt anh.
セラはねちっこくちんこをしごいてきた！,Sera đã dai dẳng kích thích con cu!
セラはねちっこく腰を動かした！,Sera đã dai dẳng di chuyển eo!
セラはオナホでちんこをゆっくりしごいた！,Sera đã dùng onahole từ từ kích thích con cu!
セラは思い切り腰を打ち付けてきた！,Sera đã dùng hết sức nhấp eo!
セラは急かすようにちんこをしごいてきた！,Sera đã kích thích con cu như hối thúc!
セラは息を整えている！,Sera đang điều hòa nhịp thở!
セラは激しくちんこをしごいてきた！,Sera đã điên cuồng kích thích con cu!
セラは無防備な胸を見せてきた！,Sera đã phô bày vòng ngực không phòng bị!
セラは腰を激しく打ち付けてきた！,Sera đã điên cuồng nhấp eo!
セラは舌なめずりをしている！,Sera đang liếm mép!
セラは褒め言葉を受け流すようになった！,Sera đã bắt đầu phớt lờ lời khen!
セラは貪るようにキスをしてきた！,Sera đã hôn ngấu nghiến!
セラは足でちんこを執拗にいじめ抜いた！,Sera đã dùng chân ngoan cố hành hạ con cu!
ドレインハートで\v[74]回復した！,Đã hồi phục \v[74] nhờ Trái Tim Hút Máu!
バレてますよ」,Bị lộ rồi đấy」
バレバレなんだよ」,Lộ hết rồi đấy」
バーサクハートで\v[61]ダメージを受けた！,Nhận \v[61] sát thương từ Trái Tim Cuồng Nộ!
ピストン気持ちいいっ……♡」,Nhấp sướng quá……♡」
フェロモンのお香が勃起を促す！,Hương pheromone đang thúc đẩy cương cứng!
フェロモンのお香に身体が犯され、,"Cơ thể bị hương pheromone xâm chiếm,"
ランダムダイスでなすがままが出た！,Xúc xắc ngẫu nhiên đổ ra Mặc Cho Tùy Ý!
ランダムダイスでデバフが出た！,Xúc xắc ngẫu nhiên đổ ra Debuff!
ランダムダイスでバフが出た！,Xúc xắc ngẫu nhiên đổ ra Buff!
ランダムダイスで回復が出た！,Xúc xắc ngẫu nhiên đổ ra Hồi Phục!
ランダムダイスで大防御が出た！,Xúc xắc ngẫu nhiên đổ ra Đại Phòng Thủ!
ランダムダイスで小防御が出た！,Xúc xắc ngẫu nhiên đổ ra Tiểu Phòng Thủ!
上手く拘束から抜け出せた！,Đã khéo léo thoát khỏi sự trói buộc!
中出ししてもいいですよ？」,Có thể xuất tinh trong cũng được đấy?」
乳首を舐められながら催眠をかけられた！,Vừa bị liếm đầu ngực vừa bị thôi miên!
乳首を舐められながら腰を打ち付けられた！,Vừa bị liếm đầu ngực vừa bị nhấp eo!
休ませてあげませんから」,Em sẽ không cho anh nghỉ ngơi đâu」
体勢に変えましょう」,Hãy đổi tư thế nào」
何も起こらなかった！,Không có chuyện gì xảy ra!
冷ましてあげます。ふー……♡」,Em sẽ làm mát cho nhé. Phù……♡」
分からせてあげましょうか」,Để em dạy cho anh biết nhé」
切り替えていきます」,Em sẽ chuyển đổi đây」
効いちゃいますよね？」,Hiệu quả lắm đúng không?」
勃起して可愛いですね」,Cương cứng lên dễ thương ghê nhỉ」
包み込まれちゃってるね」,Đang bị bao bọc rồi nhỉ」
包み込んであげます」,Em sẽ bao bọc cho nhé」
収まりきらないね」,Không thể chứa hết được nhỉ」
可愛がってあげます♡」,Em sẽ yêu thương anh mà♡」
味わうのは後のお楽しみに,Việc thưởng thức cứ để dành cho niềm vui sau này
味合わせてあげますね」,Em sẽ cho anh thưởng thức nhé」
塗りこみますね」,Em sẽ bôi vào nhé」
変な癖付けられちゃったね」,Bị lây thói quen kỳ lạ rồi nhỉ」
変になってしまいそうです……！♡」,Sắp trở nên kỳ lạ mất rồi……！♡」
変になるぅ……っ♡』」,Kỳ lạ quá……♡』」
大好きなんでしょ？」,Rất thích đúng không?」
太ももに挟んだオナホでしごかれた！,Bị kích thích bằng onahole kẹp giữa hai đùi!
好きな相手とのひとときが,Khoảnh khắc ở bên người mình thích
嬉しいでしょう？」,Vui lắm đúng không?」
嬉しいですね」,Vui thật nhỉ」
孕ませてください……♡』」,Hãy làm em mang thai đi……♡』」
容赦なく犯してあげますよ♡」,Em sẽ làm tới bến không nương tay đâu♡」
密着して味わってください」,Hãy dán sát người vào thưởng thức nhé」
密着しましょうか」,Dán sát vào nhau nhé?」
射精しちゃいますか？」,Sẽ xuất tinh luôn sao?」
射精の許可出してぇ……♡』」,Cho em phép xuất tinh đi mà……♡』」
小さいちんこが容赦なくなぶられた！,Con cu bé nhỏ bị hành hạ không nương tay!
小さくてひ弱な身体では,"Với thân hình nhỏ bé yếu ớt,"
少し集中します」,Em sẽ tập trung chút nhé」
尻に敷いておかなくては」,Phải đè anh dưới chân mới được」
尿道こじ開けて射精したい……♡』」,Muốn cạy niệu đạo để xuất tinh quá……♡』」
屈服したいよ～……♡』」,Muốn khuất phục lắm rồi～……♡』」
幸せでしょう？」,Hạnh phúc lắm đúng không?」
引きずり出してください」,Hãy kéo nó ra đi」
後で中出し、してくださいね♡」,"Lát nữa, nhớ xuất tinh trong nhé♡」"
怒りますよ……」,Em sẽ giận đấy……」
恥ずかしいね」,Xấu hổ nhỉ」
恥ずかしい恰好にしてあげます」,Em sẽ khiến anh phải xấu hổ đây」
意識がかき回されちゃいますね」,Ý thức bị đảo lộn cả lên nhỉ」
感謝して？」,Biết ơn đi chứ?」
我慢汁お漏らしさせてあげる」,Để em làm anh rỉ nước nhờn ra nhé」
抜け出せなかった！,Không thể trốn thoát!
振りたくありませんか？」,Không muốn lắc lư sao?」
振舞えなくなっちゃうでしょ」,Sẽ không còn ra vẻ thong dong được nữa đâu」
搾り取っちゃいますから」,Vì em sẽ vắt sạch nên」
搾り取ってあげますね」,Em sẽ vắt sạch cho anh nhé」
教え込んであげましょう」,Để em dạy cho ngấm nhé」
早く作ってください」,Hãy tạo ra thật nhanh nhé」
早く入れてください……♡」,Mau đưa vào đi……♡」
時間感覚を狂わせる！,Làm rối loạn cảm giác thời gian!
本当に恥ずかしい人」,Đúng là kẻ biết xấu hổ nhỉ」
楽しいですか？」,Vui lắm sao?」
楽しんでみてください」,Cứ tận hưởng thử đi」
欲しいのかな？」,Muốn lắm sao?」
毎ターンダメージを受けるようになった！,Đã bắt đầu nhận sát thương mỗi lượt!
気になりますか？」,Tò mò lắm sao?」
気持ちいいですね？」,Sướng lắm đúng không?」
気持ちいいでちゅよ」,Sướng lắm nà」
気持ちいいよ～……♡』」,Sướng quá đi～……♡』」
気持ちいっ……んぅ……っ♡」,Sướng quá……ưm……♡」
気持ちよくしごいてしまいましょう」,Cứ kích thích cho thật sướng thôi nào」
治療を行いましょう」,Hãy tiến hành trị liệu thôi nào」
滑稽だね」,Buồn cười ghê nhỉ」
滑稽ですね」,Lố bịch ghê nhỉ」
無いんですか？全く」,Không có ư? Thật là」
無防備な乳首さんですね」,Đầu ngực không phòng bị gì nhỉ」
照れさせることができなくなった！,Không thể khiến anh thẹn thùng được nữa!
熱くなっていますよ」,Đang nóng lên rồi kìa」
爪の鋭い刺激が癖になるでしょう」,Kích thích sắc bén của móng tay sẽ gây nghiện đấy nhỉ」
甘えちゃおっか」,Nũng nịu một chút nhé」
甘えん坊なお客様ですね」,Vị khách hay nũng nịu ghê nhỉ」
瞬間を妄想してみてください」,Hãy tưởng tượng khoảnh khắc đó đi」
硬くしすぎですよ？」,Làm cứng quá đấy nhé?」
私が独占してもいいですよね？」,Em độc chiếm anh cũng được chứ nhỉ?」
私とセックスしちゃいましょう」,Cứ làm chuyện ấy với em thôi nào」
私に委ねてください♡」,Cứ giao phó cho em♡」
私の中にください……♡」,Hãy đưa vào trong em đi……♡」
穴でしょう？♡,"Là cái lỗ, đúng không?♡"
競泳水着の生地の感触が射精を促す！,Cảm giác vải đồ bơi bó sát thúc đẩy xuất tinh!
精子欲しがってる……っ♡』」,Đang thèm tinh trùng……♡』」
結果ですから」,Vì đó là kết quả」
絶対におっぱいに勝てないよ」,Tuyệt đối không thắng nổi bầu ngực đâu」
胸元の開いた服にしたんですよ？」,Em cố chọn bộ đồ hở ngực đấy nhé?」
能力を上昇させられない！,Không thể tăng chỉ số được!
脚でぎゅっと抱いて甘えてください」,Hãy ôm chặt bằng chân và nũng nịu nhé」
腰振り速すぎぃ……っ♡』」,Nhún eo nhanh quá……♡』」
膝ががくがくして可愛いです」,"Đầu gối run lập cập, dễ thương ghê nhỉ」"
興奮を煽ってあげます」,Để em khuấy động phấn khích nhé」
舐めとって差し上げます」,Để em liếm sạch cho nhé」
被食者とは限りませんよ？」,Chưa chắc đã là kẻ bị ăn thịt đâu nhé?」
見つめてください」,Hãy nhìn chằm chằm vào đi」
観念してください……！♡」,Hãy chấp nhận đi……！♡」
言語能力を奪われて、褒め言葉で,"Bị tước đoạt ngôn ngữ, với lời khen,"
誘惑します」,Em sẽ mời gọi nhé」
賭け金が2倍になって払い戻された！,Tiền cược đã được hoàn trả gấp đôi!
賭け金が払い戻された！（+3000）,Tiền cược đã được hoàn trả! (+3000)
足蹴にされるのがお似合いです」,Bị giẫm chân là hợp với anh lắm」
追い詰めていきます」,Em sẽ dồn ép anh vào chân tường」
追撃のしこしこ……♡」,"Đòn truy kích, kích thích……♡」"
追撃のぱふぱふ……♡」,"Đòn truy kích, nhồi ngực……♡」"
逃がしませんから……♡」,Sẽ không để anh thoát đâu……♡」
逃げられませんよ」,Không trốn thoát được đâu」
金玉いらいらする……♡』」,Túi tinh nhức nhối quá……♡』」
閉じ込めますね」,Em sẽ nhốt lại nhé」
関係性でいきますので」,Vì sẽ giữ mối quan hệ này nên」
降伏しろよ、馬鹿マゾ」,"Đầu hàng đi, đồ khổ dâm ngốc」"
頭悪くなっちゃった？」,Đầu óc đơ luôn rồi à?」
馬鹿にしてあげる」,Em sẽ chế nhạo anh đây」
鼠径部に覚えさせてあげます」,Để em khắc sâu vào hạ bộ của anh nhé」
（+6000）,(+6000)
